auto_id,image_id,session_id,filepath,i_date,i_gpsIndicator,i_latitude,i_longitude,temperature,colour,accel_x,accel_y,accel_z,magnet_x,magnet_y,magnet_z,pir,eImgsizes,eImgTypes,eAlt,eSpeed,eHorzErr,eVertErr,eExposure,eGain,eRBal,eGBal,eBBal,eXOr,eYOr,eZOr,eLinkID,eRed,eGreen,eBlue,eLum,eCamID,eExifOr,eBlur,eBlur2,eAvgLuminance
4320,b00000000_21i4tk_20150325_135646,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000000_21i4tk_20150325_135646e.jpg,2015-03-25T13:56:47,1,0,0,31,0,0.105,-1.004,-0.196,-0.11,0.591,-0.177,1,4014,2,0,0,0,0,1,1.25,1.59,1,1.281,97.066,-94.01,8.9751,C05950D7-A63B-4F05-A1E2-49B8C48B3597,55431,62948,46373,65535,123458024,<null>,0,0,0
4323,b00000001_21i4tk_20150325_135712,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000001_21i4tk_20150325_135712e.jpg,2015-03-25T13:57:13,1,0,0,31.4,0,-0.173,-0.716,-0.082,-0.316,0.649,-0.48,1,4014,2,0,0,0,0,1,1.25,1.59,1,1.281,93.616,-91.2,322.61,7925C369-3841-4939-852A-810A722EB1EF,58187,63149,43534,65535,123458024,<null>,0,0,0
4321,b00000002_21i4tk_20150325_135738,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000002_21i4tk_20150325_135738e.jpg,2015-03-25T13:57:38,1,0,0,29.8,0,-0.028,-1.213,-0.261,-0.307,0.621,-0.277,1,4014,2,0,0,0,0,1,1.25,1.59,1,1.313,92.424,-89.26,315.28,6F71E46D-1069-4F59-90A2-EDB27C348D23,65535,65535,57203,65535,123458024,<null>,0,0,0
4322,b00000003_21i4tk_20150325_135804,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000003_21i4tk_20150325_135804e.jpg,2015-03-25T13:58:05,1,0,0,29.6,0,-0.068,-1.475,-0.08,-0.257,0.636,-0.263,1,4014,2,0,0,0,0,1,1.31,1.59,1,1.344,94.495,-88.38,316.88,E92E95E6-8644-4184-95A7-3728FF445F79,65535,65535,56290,65535,123458024,<null>,0,0,0
4326,b00000004_21i4tk_20150325_135830,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000004_21i4tk_20150325_135830e.jpg,2015-03-25T13:58:31,1,0,0,29.6,0,-0.039,-0.666,0.017,-0.304,0.637,-0.318,1,4014,2,0,0,0,0,1,1.25,1.59,1,1.344,97.28,-90.61,316.78,CCDABEE9-09A3-4A54-A5AA-E256FBA8D61E,65535,65535,48762,65535,123458024,<null>,0,0,0
4327,b00000005_21i4tk_20150325_135902,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000005_21i4tk_20150325_135902e.jpg,2015-03-25T13:59:03,1,0,0,23.4,0,0.017,-0.884,-0.224,-0.299,0.627,-0.272,1,4014,2,0,0,0,0,1,1.25,1.59,1,1.344,97.643,-91.95,314,063CC037-F00C-4A81-938E-24333E70AE78,38732,42522,31691,65535,123458024,<null>,0,0,0
4324,b00000006_21i4tk_20150325_135928,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000006_21i4tk_20150325_135928e.jpg,2015-03-25T13:59:29,1,0,0,23.4,0,-0.089,-0.776,-0.067,-0.26,0.634,-0.258,1,4014,2,0,0,0,0,1,1.25,1.59,1,1.344,98.08,-90.86,317.23,B52A2D83-C00D-4496-A9C6-6F69C802678F,64315,65535,48761,65535,123458024,<null>,0,0,0
4325,b00000007_21i4tk_20150325_135954,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000007_21i4tk_20150325_135954e.jpg,2015-03-25T13:59:55,1,0,0,23.4,0,-0.019,-0.655,-0.078,-0.26,0.634,-0.247,1,4014,2,0,0,0,0,1,1.25,1.59,1,1.344,98.19,-89.91,320.72,B1B02951-7310-406D-A742-3F0ABCAADB51,62511,65535,47502,65535,123458024,<null>,0,0,0
4331,b00000008_21i4tk_20150325_140021,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000008_21i4tk_20150325_140021e.jpg,2015-03-25T14:00:21,1,0,0,25,0,0.062,-1.288,-0.338,-0.278,0.634,-0.265,1,4014,2,0,0,0,0,1,1.25,1.59,1,1.313,95.682,-89.76,320.69,EA4121C0-E74A-45FC-A308-07057FE046F3,62818,65535,47190,65535,123458024,<null>,0,0,0
4330,b00000009_21i4tk_20150325_140046,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000009_21i4tk_20150325_140046e.jpg,2015-03-25T14:00:47,1,0,0,25,0,0.027,-0.634,0.017,-0.296,0.633,-0.278,1,4014,2,0,0,0,0,1,1.25,1.59,1,1.313,96.223,-88.9,321.67,17954042-B787-4C2E-8536-F9AAFC1946CB,63503,65535,45091,65535,123458024,<null>,0,0,0
